name,facebook_url
Frédéric Chéreau,https://www.facebook.com/frederic.chereau.7/
Patrice Vergriete,https://www.facebook.com/pavergriete
Michel Heinrich,https://www.facebook.com/mheinrich.vosges
Hervé Chevreau,https://www.facebook.com/herve.chevreau/
Guy Lefrand,https://www.facebook.com/agendaguylefrand?fref=nf&__tn__=C
Francis Chouat,https://www.facebook.com/francis.chouat
Norbert Meler,
Laurent Kalinowski,https://www.facebook.com/Laurent-Kalinowski-244595155648052/
Didier Laguerre,https://www.facebook.com/dilaguerre/
Roger Didier,
Éric Piolle,https://www.facebook.com/ericpiolle/
Michel Vergnier,https://www.facebook.com/michelvergnier/
André Santini,https://www.facebook.com/AndreSantini/
Luc Bouard,https://www.facebook.com/LucBouard-1419299121625450/
Jean-François Fountaine,https://www.facebook.com/jeanfrancoisfountaine/
Antoine Lefèvre,https://www.facebook.com/antoinelaon2014/
François Zocchetto,
David Marti,https://www.facebook.com/david.marti.creusot/
Luc Lemonnier,https://www.facebook.com/luclemonnier.lehavre
Jean-Claude Boulard,https://www.facebook.com/BOULARDJC/
Laurent Wauquiez,https://www.facebook.com/LaurentWauquiez/
Sylvain Robert,https://www.facebook.com/mairiedelens/?fref=nf
Martine Aubry,https://www.facebook.com/martineaubry.fr/
Émile-Roger Lombertie,https://www.facebook.com/emileroger.lombertie
Jacques Pélissard,https://www.facebook.com/Jacques-P%C3%A9lissard-475065995933842/
Norbert Métairie,https://www.facebook.com/Norbert-M%C3%A9tairie-269702099865130/
Gérard Collomb,https://www.facebook.com/GerardCollomb/
Jean-Patrick Courtois,
Mohamed Majani,
Jean-Claude Gaudin,https://www.facebook.com/jeanclaudegaudin/?ref=nf
Arnaud Decagny,https://www.facebook.com/arnaud.decagny.1
Gérard Millet,https://www.facebook.com/gerard.millet.988
Alain Bertrand,
Dominique Gros,https://www.facebook.com/Dominique-Gros-479078625545294/
Geneviève Darrieussecq,https://www.facebook.com/genevieve.darrieussecq
Brigitte Barèges,https://www.facebook.com/brigitte.bareges/
Marie-Noëlle Biguinet,https://www.facebook.com/marienoelle.biguinet
Marie-Claude Jarrot,https://www.facebook.com/marieclaude.jarrot
Daniel Dugléry,https://www.facebook.com/DanielDuglery/
Philippe Saurel,https://www.facebook.com/P.Saurel/
Patrice Bessac,https://www.facebook.com/pbessac
Pierre-André Périssol,https://www.facebook.com/PAPerissol
Jean Rottner,https://www.facebook.com/jean.rottner/
Laurent Hénart,https://www.facebook.com/laurent.henart/
Patrick Jarry,https://www.facebook.com/patrick.jarry.395
Johanna Rolland,https://www.facebook.com/Johanna-Rolland-527856500606836/
Denis Thuriot,https://www.facebook.com/denisthuriot/
Christian Estrosi,https://www.facebook.com/estrosi.christian/
Jean-Paul Fournier,https://www.facebook.com/JeanPaulFournier30/
Jérôme Baloge,
Sonia Lagarde,https://www.facebook.com/sonia.lagarde.18
Olivier Carré,https://www.facebook.com/ocarre45
Michel Buillard,https://www.facebook.com/michel.buillard.7
Anne Hidalgo,https://www.facebook.com/HidalgoAnne/
François Bayrou,https://www.facebook.com/bayrou/
Antoine Audi,https://www.facebook.com/antoine.audi.5
Jean-Marc Pujol,https://www.facebook.com/jeanmarc.pujol/
Jacques Bangou,https://www.facebook.com/jacquesbangou1/
Alain Claeys,
Philippe Houillon,https://www.facebook.com/Philippe-Houillon-131645473672774/
Michel Valla,https://www.facebook.com/valla.michel/
Ludovic Jolivet,https://www.facebook.com/ludovic.jolivet.31
Arnaud Robinet,https://www.facebook.com/arnaud.robinet.5
Nathalie Appéré,https://www.facebook.com/appere.nathalie/
Yves Nicolin,https://www.facebook.com/yves.nicolin
Christian Teyssèdre,
Guillaume Delbar,https://www.facebook.com/guillaume.delbar
Yvon Robert,https://www.facebook.com/yvon.robert.779?ref=br_rs
Bruno Joncour,https://www.facebook.com/bruno.joncour
Gilbert Annette,https://www.facebook.com/gilbertannette974/
Laurent Russier,https://www.facebook.com/laurent.russier.9
François Cornut-Gentille,
Gaël Perdriau,https://www.facebook.com/gael.perdriau.9
François Brière,https://www.facebook.com/francois.briere.50
Claude Renoult,https://www.facebook.com/claude.renoult
David Samzun,https://www.facebook.com/david.samzun.9
Joseph Sinimalé,https://www.facebook.com/JosephSinimale2014/
